label,id,nodes_n,degree
Military Forces of Nigeria (2015-),1,5,171
Military Forces of Cameroon (1982-),2,5,46
Islamic State (West Africa),3,16,180
Shawa Communal Militia (Nigeria),4,1,1
Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,5,24,83
Police Forces of Nigeria (2015-),6,3,4
Agzawaya Communal Militia (Cameroon),7,1,1
Military Forces of Nigeria (2015-) Joint Task Force,8,1,1
Military Forces of Niger (2011-2021),9,4,13
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,10,2,3
UN: United Nations,11,1,1
Military Forces of Cameroon (1982-) Rapid Intervention Battalion,12,3,4
Mozogo Communal Militia (Cameroon),13,1,1
Civilian JTF: Civilian Joint Task Force,14,1,2
Fulani Ethnic Militia (Nigeria),15,1,1
Mora Communal Militia (Cameroon),16,1,1
Police Forces of Cameroon (1982-),17,3,3
Military Forces of Chad (1990-2021),18,1,2
Djakana Communal Militia (Cameroon),19,1,1
Bakaresse Communal Militia (Cameroon),20,1,1
Toumour Communal Militia (Niger),21,1,1
Double-Alagarno Communal Militia (Cameroon),22,1,1
Kerawa Communal Militia (Cameroon),23,1,1
Limani Communal Militia (Cameroon),24,1,2
Police Forces of Niger (2011-2021),25,1,1
Maloumri Communal Militia (Cameroon),26,1,1
Gangawa Communal Militia (Cameroon),27,1,1
Kolofata Communal Militia (Cameroon),28,1,2
